step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.66796875,3.66796875,0.0,1e-05
1,3.7210243077748286,3.208984375,0.5120399327748285,1e-05
2,3.9115698912912515,3.41796875,0.49360114129125177,1e-05
3,4.449933342128937,3.95703125,0.492902092128937,1e-05
4,3.8911448937497073,3.400390625,0.4907542687497074,1e-05
5,3.464156548289435,2.9765625,0.487594048289435,1e-05
6,4.099396567441067,3.619140625,0.48025594244106673,1e-05
7,4.17908949076798,3.708984375,0.47010511576797986,1e-05
8,3.5539023186931207,3.087890625,0.4660116936931205,1e-05
9,4.459656919701773,4.00390625,0.45575066970177347,1e-05
10,4.345912895534134,3.892578125,0.45333477053413396,1e-05
11,4.102408210404889,3.650390625,0.4520175854048886,1e-05
12,4.321308592783534,3.873046875,0.44826171778353463,1e-05
13,3.7353341017493893,3.2890625,0.44627160174938924,1e-05
14,4.406835664087709,3.962890625,0.4439450390877091,1e-05
15,3.6847679765807455,3.25,0.43476797658074534,1e-05
16,4.10954299126472,3.673828125,0.4357148662647203,1e-05
17,3.601870801173611,3.169921875,0.43194892617361075,1e-05
18,4.176273907052986,3.74609375,0.43018015705298557,1e-05
19,3.9271984122208967,3.494140625,0.43305778722089655,1e-05
20,3.6311989651929535,3.203125,0.42807396519295327,1e-05
21,4.865926634768777,4.44140625,0.424520384768777,1e-05
22,4.188313191147884,3.767578125,0.4207350661478844,1e-05
23,4.0814852864087126,3.6640625,0.4174227864087122,1e-05
24,4.204196257094109,3.78515625,0.419040007094109,1e-05
25,4.032024397643105,3.611328125,0.4206962726431046,1e-05
26,3.968439795463113,3.55078125,0.41765854546311315,1e-05
27,4.184979280631187,3.76953125,0.4154480306311866,1e-05
28,3.5769159302865994,3.162109375,0.4148065552865992,1e-05
29,4.166024655569865,3.755859375,0.4101652805698656,1e-05
30,4.301580772903176,3.890625,0.4109557729031761,1e-05
31,4.479717030171612,4.06640625,0.41331078017161227,1e-05
32,3.705170522050878,3.294921875,0.41024864705087777,1e-05
33,3.792419504368646,3.380859375,0.41156012936864594,1e-05
34,4.874944535764749,4.46484375,0.41010078576474873,1e-05
35,4.4301352854420575,4.0234375,0.4066977854420573,1e-05
36,3.871464422458709,3.46484375,0.40662067245870875,1e-05
37,3.3108159646851503,2.904296875,0.4065190896851505,1e-05
38,3.365831406856253,2.9609375,0.404893906856253,1e-05
39,4.049854836072113,3.642578125,0.4072767110721131,1e-05
40,3.593156714937571,3.1875,0.4056567149375708,1e-05
41,4.047868435686251,3.64453125,0.4033371856862511,1e-05
42,4.008174127848404,3.60546875,0.40270537784840466,1e-05
43,3.845759999938764,3.443359375,0.40240062493876405,1e-05
44,3.7728870117011244,3.37109375,0.4017932617011242,1e-05
45,3.9309864188200505,3.52734375,0.40364266882005073,1e-05
46,3.874312052681631,3.47265625,0.4016558026816309,1e-05
47,4.035168311306183,3.634765625,0.40040268630618314,1e-05
48,4.1031139295143415,3.703125,0.3999889295143417,1e-05
49,3.890235166851817,3.490234375,0.4000007918518169,1e-05
50,4.652755111391907,4.25390625,0.39884886139190706,1e-05
51,4.107283878274599,3.70703125,0.400252628274599,1e-05
52,3.8764278066274427,3.478515625,0.39791218162744246,1e-05
53,3.518275453474561,3.12109375,0.39718170347456105,1e-05
54,4.159341824742938,3.76171875,0.3976230747429382,1e-05
55,4.28672536539565,3.888671875,0.3980534903956506,1e-05
56,3.4984821362099305,3.1015625,0.3969196362099307,1e-05
57,4.0446376636674914,3.646484375,0.3981532886674912,1e-05
58,3.404278044177327,3.0078125,0.39646554417732693,1e-05
59,4.1589632398957335,3.763671875,0.3952913648957333,1e-05
60,3.4362718360855147,3.041015625,0.3952562110855145,1e-05
61,3.188574254701234,2.79296875,0.3956055047012339,1e-05
62,4.111294630103855,3.716796875,0.3944977551038551,1e-05
63,3.8708342645429705,3.474609375,0.39622488954297036,1e-05
64,4.421830464165735,4.02734375,0.3944867141657351,1e-05
65,4.366059616636814,3.97265625,0.39340336663681397,1e-05
66,3.1586395721349376,2.765625,0.3930145721349374,1e-05
67,4.070621555224592,3.677734375,0.3928871802245917,1e-05
68,3.995915356239493,3.603515625,0.39239973123949307,1e-05
69,3.4121995072854308,3.017578125,0.39462138228543053,1e-05
70,3.8639346198898386,3.470703125,0.3932314948898385,1e-05
71,3.317882125129883,2.92578125,0.39210087512988273,1e-05
72,3.965284760368723,3.57421875,0.3910660103687233,1e-05
73,4.523413266908842,4.1328125,0.39060076690884205,1e-05
74,3.867219939563151,3.4765625,0.39065743956315085,1e-05
75,4.043202261741198,3.650390625,0.3928116367411978,1e-05
76,3.63967388426782,3.248046875,0.39162700926781996,1e-05
77,3.662488654346628,3.271484375,0.3910042793466282,1e-05
78,3.7924245463706474,3.40234375,0.3900807963706475,1e-05
79,4.521505459025146,4.1328125,0.3886929590251466,1e-05
80,3.5374492608721706,3.1484375,0.3890117608721704,1e-05
81,4.793564343262072,4.40234375,0.39122059326207204,1e-05
82,3.55495487734641,3.1640625,0.39089237734640997,1e-05
83,3.939738283993998,3.548828125,0.39091015899399795,1e-05
84,4.004791061945415,3.615234375,0.38955668694541506,1e-05
85,3.551654034470131,3.1640625,0.38759153447013106,1e-05
86,3.899886608435933,3.51171875,0.388167858435933,1e-05
87,3.8332067198371007,3.443359375,0.38984734483710054,1e-05
